PMRP_SUBJECT_ID,EXOME_ID
6186,MC.157457@1075678314
6190,
6202,1615641-1-0238096556
6210,MC.161192@1075678318
6221,MC.AMD117472@0123861682
6222,1736088-1-0238096492
6233,MC.AMD106909@0123861678
6251,
6252,MC.160551@1075678345
6257,MC.AMD100315@0123861660
6266,MC.AMD100800@0123861667
6272,
6279,MC.161227@1075678346
6282,4710679-1-0238096501
6285,MC.160576@1075678333
6304,MC.AMD134628@0123909052
6308,2247987-1-0238096502
6311,MC.AMD134698@0123910869
6313,MC.158827@1075678340
6351,MC.159266@1075678745
6358,MC.158302@1075678338
6360,MC.160645@1075678732
6364,1565787-1-0238096755
6372,MC.AMD101970@0123861117
6376,MC.AMD105154@0123861657
6377,1676499-1-0238096871
6380,MC.AMD109459@0123910885
6384,MC.AMD112524@0123907475
6392,MC.157478@1075678343
6409,MC.AMD122578@0123861652
6418,MC.160333@1075680099
6423,
6442,MC.AMD120779@0123910891
6452,MC.AMD114651@0123910866
6461,MC.159767@1075678761
6478,MC.156918@1075676765
6479,MC.163165@1082087113
6488,MC.AMD107731@0123910852
6501,4556509-1-0238096859
6506,MC.AMD100479@0123861636
6517,MC.157487@1075678772
6518,MC.154316@1075680154
6547,MC.158801@1075678787
6552,
6599,MC.AMD114716@0123861111
6601,MC.AMD102809@0123909056
6603,
6604,MC.AMD118057@0123861622
6606,MC.AMD101089@0123861631
6615,
6620,MC.157879@1075676794
6621,MC.AMD100550@0123890372
6626,8629751-1-0238096858
6634,MC.160190@1076254282
6645,2674660-1-0238096918
6653,MC.AMD130910@0123861108
6663,5069072-1-0238096425
6665,MC.AMD104754@0123909042
6675,MC.AMD100558@0123909059
6678,MC.AMD122844@0124013723
6700,MC.AMD115553@0123909864
6710,MC.AMD115061@0123909866
6712,MC.AMD134402@0124013382
6718,MC.AMD100906@0123890371
6732,1619599-1-0238096902
6733,MC.AMD130388@0123861612
6742,4314865-1-0238096415
6743,MC.AMD100668@0123861608
6744,MC.AMD104827@0123859631
6751,6178167-1-0238096458
6771,MC.159466@1075678371
6777,MC.AMD107471@0123861093
6783,MC.AMD135178@0123889395
6790,MC.158691@1075678796
6794,MC.AMD102213@0123861327
6802,MC.160646@1075678375
6811,MC.AMD102981@0123861329
6812,3814247-1-0238096388
6813,MC.AMD105003@0123861107
6826,MC.159999@1075678813
6830,MC.AMD129089@0123909047
6848,MC.158732@1075678350
6849,
6850,MC.159678@1075678823
6852,
6861,4718011-1-0238096394
6865,MC.160519@1075678348
6878,MC.157934@1075678400
6885,MC.AMD126841@0123909044
6887,MC.156085@1075678817
6902,MC.AMD103425@0123909046
6903,MC.AMD100302@0123909846
6925,4726934-1-0238096603
6929,MC.159339@1075680106
6933,MC.161203@1075678369
6934,MC.AMD101718@0123909818
6938,1971838-1-0238096429
6943,MC.AMD107915@0123861088
6948,9209369-1-0238096639
6960,9605762-1-0238096631
6961,MC.AMD129122@0123861063
6967,MC.AMD104748@0124013674
6974,2358101-1-0238096405
6983,MC.AMD129187@0123909816
6990,MC.AMD125386@0123909803
6991,MC.AMD100335@0123909831
6994,MC.AMD101210@0123861326
6998,4852543-1-0238096591
7003,MC.158379@1075678381
7033,2033073-1-0238096389
7036,1556214-1-0238096381
7046,2310521-1-0238096462
7050,MC.AMD122139@0123861068
7051,
7058,7582300-1-0238096600
7067,MC.AMD103598@0123889397
7073,MC.AMD110602@0123909802
7077,1351630-1-0238096601
7084,MC.AMD103710@0123909813
7107,MC.AMD102944@0123861080
7133,MC.AMD119348@0124013709
7145,MC.161014@1075678415
7147,
7174,MC.159562@1075679158
7185,MC.AMD111010@0123909796
7197,MC.160637@1075641885
7203,MC.AMD116107@0123909795
7207,MC.158620@1075676752
7224,MC.158297@1075678421
7228,
7239,
7240,MC.158127@1075678407
7242,
7243,8498929-1-0238096587
7266,1277926-1-0238096614
7274,MC.AMD101212@0123911413
7277,MC.159537@1075678646
7294,MC.AMD110381@0123861059
7299,MC.AMD102487@0123911324
7310,MC.154951@1075678642
7331,MC.AMD111865@0123911420
7336,MC.AMD108977@0123861042
7342,MC.AMD100278@0123889745
7354,MC.161314@1075678438
7360,MC.AMD101069@0123907459
7367,
7373,MC.AMD102445@0123911317
7376,MC.AMD121021@0123861039
7381,1788605-1-0238096630
7389,8318263-1-0238096344
7405,MC.AMD103738@0123911312
7407,
7420,1522056-1-0238096290
7429,MC.AMD111383@0123890283
7433,MC.AMD119627@0123909026
7440,MC.159254@1075678670
7443,9641079-1-0238096299
7444,MC.AMD108788@0123861026
7447,MC.AMD100205@0123861025
7458,MC.160505@1075678674
7462,MC.155252@1075678671
7496,MC.159554@1075678683
7513,MC.AMD100894@0123911301
7516,MC.AMD105795@0123911299
7520,MC.159085@1075678714
7521,MC.158950@1075678710
7528,MC.AMD104353@0123861866
7533,MC.AMD101988@0123911300
7538,MC.159762@1075678708
7539,MC.159549@1075678717
7540,MC.160141@1075678716
7543,
